origin,destination,price,origin_lat,origin_long,destination_lat,destination_long
RSW,HOU,231.25,26.53616667,-81.75516667,29.64541861,-95.27888889
DAL,HOU,308.2,32.84711389,-96.85177222,29.64541861,-95.27888889
GNV,HOU,407.0,29.69005556,-82.27177778,29.64541861,-95.27888889
MCO,HOU,450.5,28.42888889,-81.31602778,29.64541861,-95.27888889
MSY,HOU,452.33,29.99338889,-90.25802778,29.64541861,-95.27888889
ATL,HOU,465.5,33.64044444,-84.42694444,29.64541861,-95.27888889
VPS,HOU,484.4,30.48325,-86.5254,29.64541861,-95.27888889
LAX,HOU,486.2,33.94253611,-118.4080744,29.64541861,-95.27888889
BWI,HOU,491.86,39.17540167,-76.66819833,29.64541861,-95.27888889
BOS,HOU,498.83,42.3643475,-71.00517917,29.64541861,-95.27888889
FLL,HOU,511.0,26.07258333,-80.15275,29.64541861,-95.27888889
PNS,HOU,513.5,30.47330556,-87.18744444,29.64541861,-95.27888889
DEN,HOU,518.18,39.85840806,-104.6670019,29.64541861,-95.27888889
BQK,HOU,519.0,31.25902778,-81.46630556,29.64541861,-95.27888889
VLD,HOU,519.0,30.7825,-83.27672222,29.64541861,-95.27888889
SAV,HOU,521.33,32.12758333,-81.20213889,29.64541861,-95.27888889
BNA,HOU,532.6,36.12447667,-86.67818222,29.64541861,-95.27888889
TPA,HOU,533.6,27.97547222,-82.53325,29.64541861,-95.27888889
CRP,HOU,535.5,27.77036083,-97.50121528,29.64541861,-95.27888889
CLT,HOU,553.12,35.21401111,-80.94312583,29.64541861,-95.27888889
TRI,HOU,560.0,36.47521417,-82.40742056,29.64541861,-95.27888889
DAB,HOU,567.67,29.17991667,-81.05805556,29.64541861,-95.27888889
MLB,HOU,571.0,28.10275,-80.64580556,29.64541861,-95.27888889
MIA,HOU,573.89,25.79325,-80.29055556,29.64541861,-95.27888889
CHA,HOU,577.0,35.03526833,-85.20378778,29.64541861,-95.27888889
IND,HOU,579.6,39.71732917,-86.29438417,29.64541861,-95.27888889
OAK,HOU,587.25,37.72129083,-122.2207167,29.64541861,-95.27888889
SRQ,HOU,588.0,27.39533333,-82.55411111,29.64541861,-95.27888889
SLC,HOU,595.0,40.78838778,-111.9777731,29.64541861,-95.27888889
JAX,HOU,595.0,30.49405556,-81.68786111,29.64541861,-95.27888889
ONT,HOU,598.67,34.056,-117.6011944,29.64541861,-95.27888889
DCA,HOU,601.62,38.85208333,-77.03772222,29.64541861,-95.27888889
CHS,HOU,607.0,32.89864639,-80.04050583,29.64541861,-95.27888889
ELP,HOU,607.33,31.80666667,-106.3778056,29.64541861,-95.27888889
RDU,HOU,608.57,35.87763889,-78.78747222,29.64541861,-95.27888889
CHO,HOU,613.0,38.13863889,-78.45286111,29.64541861,-95.27888889
RIC,HOU,628.5,37.50516667,-77.31966667,29.64541861,-95.27888889
TLH,HOU,636.0,30.39652778,-84.35033333,29.64541861,-95.27888889
AGS,HOU,646.2,33.369955,-81.96449611,29.64541861,-95.27888889
LYH,HOU,656.0,37.32668528,-79.20043056,29.64541861,-95.27888889
IAD,HOU,674.0,38.94453194,-77.45580972,29.64541861,-95.27888889
LWB,HOU,678.5,37.85830556,-80.39947222,29.64541861,-95.27888889
PHF,HOU,678.75,37.13189556,-76.4929875,29.64541861,-95.27888889
SJC,HOU,679.4,37.36186194,-121.9290089,29.64541861,-95.27888889
PBI,HOU,690.5,26.68316194,-80.09559417,29.64541861,-95.27888889
GRK,HOU,693.0,31.06489778,-97.82779778,29.64541861,-95.27888889
ROA,HOU,711.8,37.32546833,-79.97542833,29.64541861,-95.27888889
MHT,HOU,725.25,42.93451639,-71.43705583,29.64541861,-95.27888889
TYS,HOU,731.5,35.81248722,-83.99285583,29.64541861,-95.27888889
AEX,HOU,734.0,31.32737167,-92.54855611,29.64541861,-95.27888889
CMI,HOU,742.5,40.03925,-88.27805556,29.64541861,-95.27888889
LAS,HOU,776.29,36.08036111,-115.1523333,29.64541861,-95.27888889
AUS,HOU,875.0,30.19453278,-97.66987194,29.64541861,-95.27888889
MCI,HOU,876.75,39.29760528,-94.71390556,29.64541861,-95.27888889
BOI,HOU,921.62,43.56444444,-116.2227778,29.64541861,-95.27888889
LEX,HOU,1084.0,38.03697222,-84.60538889,29.64541861,-95.27888889
SFO,HOU,1320.42,37.61900194,-122.3748433,29.64541861,-95.27888889
PSP,HOU,1413.75,33.82921556,-116.5062531,29.64541861,-95.27888889
ANC,HOU,2394.0,61.17432028,-149.9961856,29.64541861,-95.27888889
IDA,HOU,4093.0,43.51455556,-112.0701667,29.64541861,-95.27888889
